Open,High,Low,Close,Volume,Symbol
155.4,158.719,155.071,158.112,70544580.0,AMZN
88.497,89.975,88.3515,89.8635,125312660.0,AMZN
15.015,15.6125,15.0,15.516,142473720.0,AMZN
18.931,19.185,18.792,19.183,65155280.0,AMZN
58.6,59.5,58.5255,59.45,53811180.0,AMZN
35.4,35.543,35.2758,35.4175,58500320.0,AMZN
26.1625,26.396,25.86,26.1185,57318000.0,AMZN
165.85,166.072,164.41,164.431,39964340.0,AMZN
36.4945,36.5,36.0275,36.187,42266000.0,AMZN
37.9935,38.525,37.853,38.387,61077240.0,AMZN
178.08,179.93,175.975,179.54,37046519.0,AMZN
107.03,111.78,106.01,110.4,61353812.0,AMZN
38.595,38.602,38.3855,38.4245,30532460.0,AMZN
29.807,30.2,29.7455,29.7965,51500680.0,AMZN
181.14,184.93,180.11,183.13,43081829.0,AMZN
77.161,78.426,76.953,77.8455,130474560.0,AMZN
167.811,169.45,167.046,168.8,48670060.0,AMZN
21.3,21.3635,21.073,21.262,47789240.0,AMZN
108.1,110.67,108.05,110.19,78627616.0,AMZN
161.806,166.167,161.699,164.889,64086120.0,AMZN
18.257,18.2885,17.805,17.95,66642000.0,AMZN
27.776,27.9695,27.2648,27.7575,74037300.0,AMZN
97.6725,99.9345,97.447,99.905,130635220.0,AMZN
11.886,12.1415,11.81,12.0775,86240240.0,AMZN
18.5925,18.6995,18.334,18.529,52232000.0,AMZN
131.0,131.0,128.8,130.764,71912980.0,AMZN
95.455,95.647,94.2,94.6815,60747160.0,AMZN
16.478,16.6445,16.4395,16.5595,68591040.0,AMZN
85.9805,86.4975,85.718,86.0995,41786700.0,AMZN
29.95,29.975,29.5275,29.6595,38673580.0,AMZN
12.5555,12.727,12.501,12.5625,49229920.0,AMZN
38.4385,38.4945,37.9525,38.0505,45426620.0,AMZN
86.175,87.225,85.21,86.77,59267156.0,AMZN
12.916,13.1205,12.827,13.075,51691900.0,AMZN
10.7495,10.799,10.611,10.6445,43427280.0,AMZN
12.796,12.984,12.7815,12.9475,45920460.0,AMZN
71.972,72.439,71.2445,71.3525,71650660.0,AMZN
159.177,159.462,156.763,156.783,68894700.0,AMZN
87.5715,88.3295,87.478,87.73,45388340.0,AMZN
50.3675,50.3885,50.0515,50.147,48589720.0,AMZN
187.14,188.49,184.65,186.33,41680400.0,AMZN
13.575,13.5985,13.4605,13.524,37697660.0,AMZN
159.425,162.448,157.859,161.004,90887640.0,AMZN
89.15,91.587,89.0,91.217,81500420.0,AMZN
12.6,12.623,12.2005,12.2495,78970720.0,AMZN
16.85,17.218,16.7275,17.0915,72938740.0,AMZN
107.38,110.99,106.91,108.92,66375341.0,AMZN
94.902,95.55,94.322,94.5985,70239320.0,AMZN
12.924,13.025,12.85,12.9375,44309020.0,AMZN
21.3375,21.712,21.3015,21.4685,72432000.0,AMZN
21.626,21.95,21.5685,21.6425,47874000.0,AMZN
178.236,179.362,177.267,177.45,51205400.0,AMZN
172.582,175.586,171.846,175.549,63533940.0,AMZN
91.3665,91.475,88.301,88.961,131246420.0,AMZN
38.1,38.4045,37.5125,37.5285,89330340.0,AMZN
102.1,104.926,101.905,103.964,101906940.0,AMZN
